geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.8521369726, 2.393718343;126;11;11/105;44;AVENUE PHILIPPE AUGUSTE;604197.125754;127965.279421;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8282285074, 2.376734206;186;13;13/126;38;RUE DU CHEVALERET;602952.167268;125305.833447;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8444926866, 2.37744419191;151;12;12/107;29;RUE ROLAND BARTHES;603003.323724;127114.450731;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8339254348, 2.31456172274;219;14;14/132;21;RUE DE GERGOVIE;598387.714458;125938.780053;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8548881939, 2.3728553855;125;11;11/104;27;RUE DE LA ROQUETTE;602665.978695;128270.265872;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8226634817, 2.36685643725;175;13;13/108;27;AVENUE D IVRY;602227.19647;124686.65815;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.838073564, 2.27798287788;237;15;15/111;;RUE SAINT CHARLES;595702.803335;126401.49492;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8490352799, 2.28792008292;252;15;15/135;;RUE DU THEATRE;596433.030869;127619.923721;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8722796221, 2.37662795136;107;10;10/118;face 1;BOULEVARD DE LA VILLETTE;602941.792118;130204.345648;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8823161493, 2.34143291584;89;09;9/135;51;BOULEVARD DE ROCHECHOUART;600360.028562;131319.640859;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.884382393, 2.3302750002;301;18;18/104;face 118;BOULEVARD DE CLICHY;599541.736;131549.415;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8528463574, 2.29798828688;255;15;15/142;86;RUE DE LA FEDERATION;597172.137418;128043.288376;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8510453349, 2.29512257485;260;15;15/154;face 22;PLACE DUPLEIX;596961.732911;127843.125758;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8707513162, 2.35456149368;100;10;10/110;face au 1;RUE DE METZ;601323.168011;130033.770944;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8696842376, 2.37116053465;144;11;11/140;135;AVENUE PARMENTIER;602540.865792;129915.537748;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8459388963, 2.26908155009;273;16;16/111;37;RUE MIRABEAU;595050.194916;127276.673498;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8421757132, 2.32316498865;208;14;14/114;23;RUE DU DEPART;599019.453706;126856.069655;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8844550441, 2.34273602653;303;18;18/106;;PLACE SUZANNE VALADON;600455.579621;131557.494514;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8474448003, 2.3954825438;159;12;12/121;opposé au 16;PLACE DE LA NATION;604326.993979;127443.60647;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8297799548, 2.36896816751;183;13;13/119;26;PLACE JEANNE D ARC;602381.919373;125478.080294;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8245410206, 2.33948840256;202;14;14/105;face 30;AVENUE REILLE;600217.631351;124894.996495;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
